accident_no,accident_date,accident_time,day_week_desc,accident_type_desc,severity,speed_zone,rma,road_geometry_desc,lga_name,latitude,longitude,postcode_crash,age_group,sex,inj_level_desc,no_persons_killed,no_persons_inj_2,no_persons_inj_3,year,month,severity_desc
T20130019546,2013-09-22,17:20:00,Sunday,Collision with vehicle,3,60,Arterial Other,T intersection,PORT PHILLIP,-37.88517,144.9808,3184,26-29,M,Other injury,0,0,1,2013,9,Other Injury
T20240008949,2024-04-10,09:02:00,Wednesday,Collision with vehicle,2,60,Arterial Highway,Cross intersection,MELBOURNE,-37.824665,144.96365,3006,30-39,M,Serious injury,0,1,0,2024,4,Serious Injury
T20240031596,2024-12-09,14:30:00,Monday,Collision with vehicle,3,60,Local Road,Cross intersection,MORELAND,-37.707325,144.91277,3046,50-59,M,Other injury,0,0,1,2024,12,Other Injury
T20140007351,2014-04-07,19:45:00,Monday,Collision with vehicle,3,40,Local Road,Not at intersection,DAREBIN,-37.7384,145.00394,3072,30-39,F,Other injury,0,0,1,2014,4,Other Injury
T20240025610,2024-10-10,12:55:00,Thursday,Collision with vehicle,2,60,Arterial Other,Not at intersection,MELBOURNE,-37.79302,144.97543,3054,26-29,M,Serious injury,0,1,0,2024,10,Serious Injury
T20200021318,2020-11-28,15:00:00,Saturday,Collision with vehicle,3,40,Local Road,Not at intersection,MELBOURNE,-37.814377,144.96323,3000,26-29,M,Other injury,0,0,1,2020,11,Other Injury
T20240016992,2024-06-26,08:30:00,Wednesday,Collision with vehicle,3,777,Arterial Other,Not at intersection,YARRA,-37.827618,144.99759,3121,30-39,M,Other injury,0,0,1,2024,6,Other Injury
T20230014331,2023-06-20,07:15:00,Tuesday,Collision with vehicle,3,60,Local Road,Not at intersection,BRIMBANK,-37.76754,144.8493,3020,60-64,M,Other injury,0,0,1,2023,6,Other Injury
T20190006179,2019-04-02,07:04:00,Tuesday,Collision with vehicle,2,60,Arterial Other,T intersection,STONNINGTON,-37.83532,145.00574,3142,30-39,M,Serious injury,0,1,0,2019,4,Serious Injury
T20210013562,2021-06-21,08:35:00,Monday,Collision with vehicle,3,40,Local Road,T intersection,MONASH,-37.87706,145.1288,3149,5-12,M,Other injury,0,0,1,2021,6,Other Injury
T20130011805,2013-05-28,06:45:00,Tuesday,Collision with vehicle,2,60,Arterial Other,T intersection,YARRA,-37.81975,145.01065,3121,30-39,M,Serious injury,0,1,0,2013,5,Serious Injury
T20140007155,2014-04-07,06:00:00,Monday,Collision with vehicle,2,60,Arterial Highway,T intersection,KINGSTON,-37.98554,145.10043,3195,40-49,M,Serious injury,0,1,0,2014,4,Serious Injury
T20180014550,2018-07-31,13:07:00,Tuesday,Collision with vehicle,2,60,Arterial Other,T intersection,PORT PHILLIP,-37.829895,144.97133,3006,26-29,M,Serious injury,0,1,0,2018,7,Serious Injury
T20160001564,2016-01-23,07:13:00,Saturday,Collision with vehicle,2,60,Arterial Other,T intersection,BAYSIDE,-37.90891,144.98672,3186,30-39,M,Serious injury,0,1,0,2016,1,Serious Injury
T20210022369,2021-11-05,20:51:00,Friday,Vehicle overturned (no collision),2,40,Local Road,Cross intersection,MELBOURNE,-37.809635,144.94678,3003,26-29,F,Serious injury,0,1,0,2021,11,Serious Injury
T20170004017,2017-02-27,18:22:00,Monday,Collision with vehicle,2,60,Arterial Other,Cross intersection,MONASH,-37.91223,145.10344,3167,30-39,F,Serious injury,0,1,0,2017,2,Serious Injury
T20190007271,2019-04-17,07:20:00,Wednesday,Collision with vehicle,3,50,Local Road,Not at intersection,DAREBIN,-37.779034,145.00816,3070,26-29,F,Other injury,0,0,1,2019,4,Other Injury
T20170003889,2017-02-26,13:45:00,Sunday,Collision with vehicle,3,50,Local Road,T intersection,GLEN EIRA,-37.87709,145.00737,3183,18-21,M,Other injury,0,0,1,2017,2,Other Injury
T20170007452,2017-03-07,09:00:00,Tuesday,No collision and no object struck,3,50,Local Road,Not at intersection,KNOX,-37.85541,145.25214,3152,26-29,M,Other injury,0,0,1,2017,3,Other Injury
T20170010195,2017-05-24,07:00:00,Wednesday,Collision with vehicle,2,40,Local Road,Cross intersection,MORELAND,-37.76656,144.9726,3057,30-39,M,Serious injury,0,1,0,2017,5,Serious Injury
T20140026914,2014-12-28,08:25:00,Sunday,No collision and no object struck,1,50,Local Road,Cross intersection,DANDENONG,-37.95406,145.1493,3171,70+,M,Fatality,1,0,0,2014,12,Fatal
T20210002556,2021-02-04,19:45:00,Thursday,Collision with vehicle,2,50,Local Road,T intersection,KNOX,-37.89124,145.22224,3179,5-12,M,Serious injury,0,1,0,2021,2,Serious Injury
T20250001496,2025-01-18,18:10:00,Saturday,Collision with vehicle,2,40,Local Road,Not at intersection,GLEN EIRA,-37.884052,144.99913,3185,40-49,M,Serious injury,0,1,0,2025,1,Serious Injury
T20210009124,2021-04-24,06:21:00,Saturday,Collision with vehicle,3,50,Local Road,T intersection,DAREBIN,-37.765656,144.9994,3070,40-49,M,Other injury,0,0,1,2021,4,Other Injury
T20150012548,2015-06-13,10:20:00,Saturday,Collision with vehicle,3,999,Local Road,Not at intersection,WHITTLESEA,-37.676514,145.06844,3082,5-12,F,Other injury,0,0,2,2015,6,Other Injury
T20170007362,2016-11-29,07:00:00,Tuesday,Collision with vehicle,3,50,Local Road,Not at intersection,MELBOURNE,-37.81523,144.97202,3000,60-64,F,Other injury,0,0,1,2016,11,Other Injury
T20170007362,2016-11-29,07:00:00,Tuesday,Collision with vehicle,3,50,Local Road,Not at intersection,MELBOURNE,-37.81523,144.97202,3000,Unknown,U,Not injured,0,0,1,2016,11,Other Injury
T20120004487,2012-02-24,07:20:00,Friday,Collision with vehicle,3,60,Arterial Other,T intersection,YARRA,-37.800743,145.00217,3067,26-29,M,Other injury,0,0,1,2012,2,Other Injury
T20190026403,2019-12-29,07:33:00,Sunday,Collision with vehicle,3,50,Arterial Other,Cross intersection,MAROONDAH,-37.832336,145.24113,3135,40-49,M,Other injury,0,0,1,2019,12,Other Injury
T20160024067,2016-11-06,18:00:00,Sunday,Collision with vehicle,3,60,Arterial Other,Not at intersection,YARRA,-37.78424,144.98305,3068,22-25,M,Other injury,0,0,1,2016,11,Other Injury
T20130016270,2013-08-07,07:54:00,Wednesday,No collision and no object struck,2,60,Local Road,T intersection,MELBOURNE,-37.83391,144.98071,3141,30-39,F,Serious injury,0,1,0,2013,8,Serious Injury
T20220029017,2022-12-20,18:20:00,Tuesday,Fall from or in moving vehicle,3,50,Local Road,Not at intersection,MORELAND,-37.766006,144.9535,3056,30-39,M,Other injury,0,0,1,2022,12,Other Injury
T20160004893,2016-03-04,08:45:00,Friday,Collision with vehicle,2,80,Arterial Highway,Not at intersection,MONASH,-37.92407,145.20311,3170,30-39,M,Serious injury,0,1,0,2016,3,Serious Injury
T20210017437,2021-07-15,09:00:00,Thursday,Collision with vehicle,3,50,Local Road,Cross intersection,PORT PHILLIP,-37.83229,144.96306,3205,30-39,F,Other injury,0,0,1,2021,7,Other Injury
T20210007452,2021-04-02,13:10:00,Friday,Collision with vehicle,3,60,Local Road,Not at intersection,BAYSIDE,-37.926826,144.9899,3186,13-15,M,Other injury,0,0,2,2021,4,Other Injury
T20210007452,2021-04-02,13:10:00,Friday,Collision with vehicle,3,60,Local Road,Not at intersection,BAYSIDE,-37.926826,144.9899,3186,40-49,M,Other injury,0,0,2,2021,4,Other Injury
T20190011343,2019-06-15,16:30:00,Saturday,Collision with vehicle,3,999,,Not at intersection,MONASH,-37.91365,145.13535,3168,22-25,M,Other injury,0,0,1,2019,6,Other Injury
T20200014091,2020-04-27,18:20:00,Monday,No collision and no object struck,3,60,Arterial Other,Not at intersection,BAYSIDE,-37.94646,145.00085,3191,26-29,M,Other injury,0,0,1,2020,4,Other Injury
T20190015781,2019-08-20,18:23:00,Tuesday,Collision with vehicle,2,60,Arterial Highway,Cross intersection,DAREBIN,-37.749374,144.99576,3072,30-39,M,Serious injury,0,1,0,2019,8,Serious Injury
T20130003916,2013-02-22,19:00:00,Friday,Collision with vehicle,3,40,Local Road,Not at intersection,MELBOURNE,-37.81898,144.96814,3004,30-39,M,Other injury,0,0,1,2013,2,Other Injury
T20140023433,2014-11-10,17:30:00,Monday,Collision with vehicle,3,40,Local Road,Cross intersection,MORELAND,-37.76806,144.97232,3057,40-49,F,Other injury,0,0,1,2014,11,Other Injury
T20240012125,2024-05-13,10:20:00,Monday,Collision with vehicle,3,50,Local Road,Not at intersection,MERRI-BEK,-37.760338,144.94002,3055,40-49,M,Other injury,0,0,1,2024,5,Other Injury
T20200011663,2020-05-30,07:45:00,Saturday,Collision with vehicle,3,999,Arterial Other,Not at intersection,BAYSIDE,-37.98147,145.01869,3193,40-49,M,Other injury,0,0,1,2020,5,Other Injury
T20130019264,2013-09-19,04:22:00,Thursday,Collision with vehicle,2,40,Local Road,Not at intersection,STONNINGTON,-37.8479,144.99397,3181,18-21,F,Serious injury,0,1,0,2013,9,Serious Injury
T20130005069,2013-03-09,09:05:00,Saturday,Collision with vehicle,3,999,Arterial Highway,Not at intersection,FRANKSTON,-38.10247,145.12592,3198,30-39,M,Other injury,0,0,1,2013,3,Other Injury
T20190005191,2019-03-14,17:00:00,Thursday,Collision with vehicle,3,999,Arterial Other,T intersection,PORT PHILLIP,-37.831413,144.9508,3205,30-39,M,Other injury,0,0,1,2019,3,Other Injury
T20180023266,2018-12-11,14:40:00,Tuesday,Collision with vehicle,3,50,Local Road,Not at intersection,KNOX,-37.93909,145.25212,3178,13-15,M,Other injury,0,0,1,2018,12,Other Injury
T20180018211,2018-09-27,05:45:00,Thursday,Collision with vehicle,2,60,Arterial Highway,T intersection,KINGSTON,-38.02776,145.10214,3195,40-49,M,Serious injury,0,1,0,2018,9,Serious Injury
